Date,Open,High,Low,Close,Adj Close,Volume
2023-08-18,10.320000,10.320000,10.320000,10.320000,10.061378,0
2023-08-21,10.310000,10.310000,10.310000,10.310000,10.051629,0
2023-08-22,10.320000,10.320000,10.320000,10.320000,10.061378,0
2023-08-23,10.430000,10.430000,10.430000,10.430000,10.168620,0
2023-08-24,10.350000,10.350000,10.350000,10.350000,10.090625,0
2023-08-25,10.370000,10.370000,10.370000,10.370000,10.110126,0
2023-08-28,10.420000,10.420000,10.420000,10.420000,10.158870,0
2023-08-29,10.520000,10.520000,10.520000,10.520000,10.256366,0
2023-08-30,10.530000,10.530000,10.530000,10.530000,10.266113,0
2023-08-31,10.520000,10.520000,10.520000,10.520000,10.256366,0
2023-09-01,10.510000,10.510000,10.510000,10.510000,10.246615,0
2023-09-05,10.450000,10.450000,10.450000,10.450000,10.188119,0
2023-09-06,10.420000,10.420000,10.420000,10.420000,10.158870,0
2023-09-07,10.410000,10.410000,10.410000,10.410000,10.149122,0
2023-09-08,10.360000,10.360000,10.360000,10.360000,10.152062,0
2023-09-11,10.390000,10.390000,10.390000,10.390000,10.181460,0
2023-09-12,10.380000,10.380000,10.380000,10.380000,10.171660,0
2023-09-13,10.380000,10.380000,10.380000,10.380000,10.171660,0
2023-09-14,10.410000,10.410000,10.410000,10.410000,10.201058,0
2023-09-15,10.370000,10.370000,10.370000,10.370000,10.161861,0
2023-09-18,10.370000,10.370000,10.370000,10.370000,10.161861,0
2023-09-19,10.340000,10.340000,10.340000,10.340000,10.132464,0
2023-09-20,10.300000,10.300000,10.300000,10.300000,10.093267,0
2023-09-21,10.180000,10.180000,10.180000,10.180000,9.975675,0
2023-09-22,10.200000,10.200000,10.200000,10.200000,9.995274,0
2023-09-25,10.150000,10.150000,10.150000,10.150000,9.946277,0
2023-09-26,10.080000,10.080000,10.080000,10.080000,9.877682,0
2023-09-27,10.070000,10.070000,10.070000,10.070000,9.867883,0
2023-09-28,10.110000,10.110000,10.110000,10.110000,9.907079,0
2023-09-29,10.100000,10.100000,10.100000,10.100000,9.897281,0
2023-10-02,10.030000,10.030000,10.030000,10.030000,9.828685,0
2023-10-03,9.910000,9.910000,9.910000,9.910000,9.711095,0
2023-10-04,9.960000,9.960000,9.960000,9.960000,9.760091,0
2023-10-05,9.960000,9.960000,9.960000,9.960000,9.760091,0
2023-10-06,9.980000,9.980000,9.980000,9.980000,9.792471,0
2023-10-09,10.050000,10.050000,10.050000,10.050000,9.861155,0
2023-10-10,10.100000,10.100000,10.100000,10.100000,9.910214,0
2023-10-11,10.150000,10.150000,10.150000,10.150000,9.959275,0
2023-10-12,10.070000,10.070000,10.070000,10.070000,9.880778,0
2023-10-13,10.070000,10.070000,10.070000,10.070000,9.880778,0
2023-10-16,10.090000,10.090000,10.090000,10.090000,9.900403,0
2023-10-17,10.050000,10.050000,10.050000,10.050000,9.861155,0
2023-10-18,9.960000,9.960000,9.960000,9.960000,9.772846,0
2023-10-19,9.900000,9.900000,9.900000,9.900000,9.713971,0
2023-10-20,9.860000,9.860000,9.860000,9.860000,9.674725,0
2023-10-23,9.870000,9.870000,9.870000,9.870000,9.684538,0
2023-10-24,9.920000,9.920000,9.920000,9.920000,9.733597,0
2023-10-25,9.820000,9.820000,9.820000,9.820000,9.635477,0
2023-10-26,9.820000,9.820000,9.820000,9.820000,9.635477,0
2023-10-27,9.800000,9.800000,9.800000,9.800000,9.615852,0
2023-10-30,9.840000,9.840000,9.840000,9.840000,9.655102,0
2023-10-31,9.840000,9.840000,9.840000,9.840000,9.655102,0
